neuron,category,formula,threshold
105,((object-X OR scene) CLOSE color-X),((rock-X OR mountain-s) CLOSE green-c-X),3.6
106,(object-X OR object-X OR scene),(grandstand-X OR pitch-X OR bullring-s),4.2
107,(object-X OR scene OR scene),(arcade machine-X OR playroom-s OR kindergarden classroom-s),5.0
108,(object-X OR scene OR scene),(pool table-X OR fairway-s OR golf course-s),5.1
109,((scene OR scene) CLOSE object),((art gallery-s OR museum-indoor-s) CLOSE painting),4.7
110,(scene OR scene OR scene),(greenhouse-indoor-s OR vegetable garden-s OR herb garden-s),3.8
111,((object-X CLOSE TO color) OR object-X),((field-X CLOSE TO green-c) OR autobus-X),3.9
112,(object-X CLOSE TO (object-X OR scene)),(table-X CLOSE TO (chair-X OR conference room-s)),8.0
113,(scene OR scene OR object-X),(bowling alley-s OR temple-east asia-s OR escalator-X),3.9
114,(object-X OR object-X OR object-X),(plane-X OR helicopter-X OR runway-X),4.9
115,((object-X OR object-X) AND NOT object),((earth-X OR aquarium-X) AND NOT earth),3.5
116,((object-X OR scene) CLOSE object-X),((palm-X OR roundabout-s) CLOSE sky-X),4.4
117,((scene OR scene) CLOSE object),((airplane cabin-s OR attic-s) CLOSE wall),4.3
118,((object-X CLOSE object-X) OR object),((skyscraper-X CLOSE building-X) OR skyscraper),4.4
119,(object-X OR object-X OR object-X),(sidewalk-X OR railroad train-X OR pier-X),4.9
120,(scene OR object-X OR object-X),(gazebo-exterior-s OR water tower-X OR telephone booth-X),4.2
121,(scene OR scene OR scene),(park-s OR campus-s OR forest-broadleaf-s),5.1
122,(scene OR scene OR object-X),(zen garden-s OR desert-sand-s OR labyrinth-X),4.8
123,((object-X CLOSE object-X) OR scene),((signboard-X CLOSE sky-X) OR gas station-s),4.3
124,(scene CLOSE TO object & object-X),(dining room-s CLOSE TO table & wall-X),6.4
125,(scene CLOSE (object-X OR object-X)),(kitchen-s CLOSE (stove-X OR sink-X)),5.6
126,(object-X OR object-X OR object-X),(book-X OR bookcase-X OR drawing-X),5.0
127,(object-X OR object-X OR scene),(shelf-X OR apparel-X OR ball pit-s),4.9
128,(object-X OR object-X OR scene),(waterfall-X OR dam-X OR movie theater-indoor-s),4.0
129,((object-X OR object-X) CLOSE object-X),((rock-X OR sand-X) CLOSE sky-X),4.5
130,(object-X OR object-X OR object-X),(signboard-X OR trade name-X OR text-X),4.9
131,(object-X OR scene OR scene),(sofa-X OR theater-indoor procenium-s OR auditorium-s),4.1
132,(object-X OR object-X OR scene),(waterfall-X OR court-X OR football field-s),4.3
133,(object-X OR object-X OR object-X),(sink-X OR toilet-X OR bathtub-X),5.8
134,(object-X OR scene OR scene),(flower-X OR ball pit-s OR field-cultivated-s),3.4
135,(scene OR scene OR scene),(classroom-s OR lecture room-s OR conference center-s),4.6
136,(object-X OR scene OR object-X),(sink-X OR water tower-s OR toilet-X),5.4
137,(scene OR scene OR scene),(subway interior-s OR bus interior-s OR bank vault-s),4.5
138,(scene OR scene OR part-X),(doorway-outdoor-s OR doorway-indoor-s OR garage door-X),4.0
139,((object-X CLOSE TO object-X) OR scene),((field-X CLOSE TO sky-X) OR savanna-s),4.8
140,(object OR scene OR object-X),(skyscraper OR jail cell-s OR grill-X),5.0
141,((scene CLOSE object) OR scene),((conference room-s CLOSE table) OR gymnasium-indoor-s),4.4
142,(scene OR object-X OR scene),(alley-s OR ruins-X OR fire escape-s),4.1
143,(scene OR scene OR scene),(parlor-s OR throne room-s OR cathedral-indoor-s),4.8
144,(scene OR scene OR scene),(locker room-s OR ice skating rink-indoor-s OR bullring-s),3.9
145,(scene OR scene OR scene),(reception-s OR dinette-vehicle-s OR home theater-s),5.0
146,(scene OR scene OR scene),(shoe shop-s OR parking garage-indoor-s OR art gallery-s),4.0
147,(scene OR scene OR object-X),(lighthouse-s OR courthouse-s OR water tower-X),4.6
148,(object-X OR object-X OR scene),(case-X OR signboard-X OR fastfood restaurant-s),4.2
149,((object-X OR scene) CLOSE color-X),((mountain-X OR viaduct-s) CLOSE green-c-X),4.5
150,(object-X OR object-X OR object-X),(plane-X OR aircraft carrier-X OR runway-X),3.5
151,(scene OR object-X OR scene),(shopping mall-indoor-s OR greenhouse-X OR atrium-public-s),3.8
152,(scene OR object-X OR scene),(lighthouse-s OR ice-X OR snowfield-s),3.7
153,((object-X CLOSE object-X) AND scene),((door-X CLOSE cabinet-X) AND kitchen-s),6.5
154,((scene AND object) OR object),((mountain snowy-s AND mountain) OR greenhouse),4.9
155,(object-X OR scene OR scene),(case-X OR hayfield-s OR supermarket-s),4.7
156,((object-X CLOSE object-X) OR scene),((toilet-X CLOSE wall-X) OR cockpit-s),4.5
157,(object-X OR object-X OR object-X),(book-X OR bookcase-X OR coffee table-X),4.4
158,(color AND scene AND object-X),(white-c AND street-s AND building-X),4.8
159,(scene OR scene OR scene),(television studio-s OR cockpit-s OR music studio-s),4.8
160,(object-X OR object-X OR scene),(grandstand-X OR pitch-X OR batters box-s),3.8
161,(part-X OR scene OR scene),(shop window-X OR supermarket-s OR gas station-s),4.9
162,(object-X OR scene OR part-X),(cushion-X OR sandbox-s OR headboard-X),4.2
163,(scene OR scene OR scene),(airport terminal-s OR cafeteria-s OR assembly line-s),4.7
164,(object OR object-X OR scene),(sea OR aircraft carrier-X OR flight of stairs-natural-s),4.3
165,(part-X OR object-X OR scene),(garage door-X OR stage-X OR hangar-outdoor-s),5.2
166,(object-X CLOSE (object-X OR scene)),(person-X CLOSE (table-X OR sandbox-s)),3.4
167,(object-X OR object-X OR object-X),(railroad train-X OR railway-X OR tracks-X),3.9
168,((object CLOSE TO object-X) WITH color-X),((building CLOSE TO road-X) WITH blue-c-X),4.3
169,(scene OR scene OR scene),(amphitheater-s OR greenhouse-indoor-s OR greenhouse-outdoor-s),4.5
170,((scene AND object-X) OR scene),((highway-s AND road-X) OR bullring-s),4.7
171,(object-X CLOSE TO object & object),(building-X CLOSE TO car & road),5.3
172,(object-X AND object-X AND scene),(road-X AND building-X AND street-s),5.2
173,(object-X OR scene OR object-X),(apparel-X OR cockpit-s OR shirt-X),3.7
174,((scene OR scene) CLOSE object),((conference room-s OR classroom-s) CLOSE table),4.5
175,(object-X OR object-X OR scene),(tent-X OR escalator-X OR car interior-backseat-s),3.8
176,(scene OR object-X OR scene),(castle-s OR acropolis-X OR temple-east asia-s),4.2
177,(object-X OR object-X OR scene),(grandstand-X OR animal-X OR sandbar-s),3.6
178,((object-X OR scene) CLOSE object-X),((railing-X OR plaza-s) CLOSE building-X),4.4
179,(scene OR scene OR scene),(cathedral-indoor-s OR throne room-s OR excavation-s),4.5
180,((object WITH object-X) OR object),((plant WITH wall-X) OR palm),6.5
181,((scene AND object-X) CLOSE TO object),((street-s AND tree-X) CLOSE TO road),5.1
182,((object-X CLOSE object-X) OR scene),((person-X CLOSE building-X) OR market-outdoor-s),4.0
183,(scene OR scene OR scene),(nursery-s OR childs room-s OR playroom-s),5.1
184,((object-X AND scene) OR object-X),((chair-X AND dining room-s) OR horse-X),5.0
185,((object-X CLOSE TO color-X) OR scene),((person-X CLOSE TO white-c-X) OR water tower-s),3.0
186,(scene OR scene OR scene),(church-indoor-s OR cathedral-indoor-s OR temple-east asia-s),3.9
187,(object-X OR object-X OR object-X),(bench-X OR stairs-X OR altar-X),5.2
188,((color OR scene) AND object-X),((red-c OR television studio-s) AND wall-X),3.5
189,((scene AND NOT object-X) CLOSE object-X),((attic-s AND NOT ceiling-X) CLOSE ceiling-X),5.6
190,(object-X OR scene OR object-X),(swimming pool-X OR jacuzzi-outdoor-s OR fountain-X),4.3
191,((scene CLOSE object) OR scene),((living room-s CLOSE fireplace) OR bakery-shop-s),4.3
192,(object-X OR object-X OR object-X),(skyscraper-X OR lighthouse-X OR water tower-X),4.7
193,(object-X OR object-X OR object-X),(cradle-X OR pier-X OR aqueduct-X),3.7
194,(object-X OR object-X OR object),(carousel-X OR rubbish-X OR barrel),3.4
195,(object-X OR object OR object),(cradle-X OR railing OR hovel),4.4
196,(scene OR object-X OR object-X),(gazebo-exterior-s OR cradle-X OR tent-X),5.0
197,(object-X OR scene OR scene),(pool table-X OR parking garage-indoor-s OR bowling alley-s),5.2
198,(scene OR object-X OR object-X),(fire escape-s OR bridge-X OR roller coaster-X),4.3
199,((object-X AND object-X) OR scene),((bed-X AND wall-X) OR castle-s),5.5
200,((scene OR scene) CLOSE object-X),((corridor-s OR supermarket-s) CLOSE ceiling-X),3.7
201,(object-X CLOSE TO (object-X OR part-X)),(tree-X CLOSE TO (sidewalk-X OR crosswalk-X)),4.7
202,(scene OR scene OR scene),(cockpit-s OR airplane cabin-s OR theater-indoor procenium-s),4.1
203,(object-X OR scene OR object),(stairway-X OR staircase-s OR escalator),5.7
204,(scene OR scene OR scene),(forest path-s OR mountain path-s OR flight of stairs-natural-s),4.7
205,(object-X OR scene OR scene),(case-X OR supermarket-s OR toyshop-s),3.9
206,(scene OR scene OR object-X),(mosque-outdoor-s OR cloister-indoor-s OR washer-X),4.6
207,(scene OR object-X OR part-X),(archive-s OR book-X OR balcony-X),5.6
208,((object CLOSE TO color-X) OR scene),((person CLOSE TO white-c-X) OR batters box-s),4.1
209,((scene OR scene) CLOSE object),((airport terminal-s OR art gallery-s) CLOSE floor),6.2
210,(object-X OR scene OR object),(computer-X OR cockpit-s OR windmill),4.3
211,((object-X CLOSE TO object) OR object-X),((grass-X CLOSE TO building) OR runway-X),4.9
212,(object-X OR object OR scene),(pool table-X OR chandelier OR orchard-s),3.8
213,(object CLOSE TO (scene OR object-X)),(building CLOSE TO (building facade-s OR railing-X)),4.8
214,(object-X CLOSE (object-X OR object-X)),(stage-X CLOSE (wall-X OR curtain-X)),4.0
215,(object-X CLOSE TO (part OR object-X)),(bed-X CLOSE TO (headboard OR painting-X)),4.4
216,((object-X CLOSE object-X) OR object),((toilet-X CLOSE wall-X) OR sink),4.0
217,(object-X OR scene OR object-X),(case-X OR bowling alley-s OR escalator-X),4.5
218,(object-X OR scene OR object-X),(plane-X OR heliport-s OR horse-X),3.8
219,(object-X CLOSE TO (scene AND NOT object-X)),(road-X CLOSE TO (highway-s AND NOT road-X)),7.4
220,(object-X OR scene OR object-X),(arcade machine-X OR amusement park-s OR slot machine-X),4.5
221,((object CLOSE TO object) AND color),((grass CLOSE TO tree) AND green-c),6.8
222,(object OR object-X OR object),(house OR caravan-X OR hovel),4.6
223,(scene OR scene OR part-X),(bowling alley-s OR oast house-s OR roof-X),3.8
224,(scene OR scene OR part-X),(fire escape-s OR parking garage-outdoor-s OR windows-X),5.4
225,(object-X CLOSE TO (object-X OR object)),(wall-X CLOSE TO (toilet-X OR bathtub)),5.9
226,((object-X AND color-X) OR object-X),((earth-X AND brown-c-X) OR dirt track-X),5.0
227,(scene OR scene OR object-X),(shopping mall-indoor-s OR atrium-public-s OR water tower-X),4.4
228,((scene OR object-X) CLOSE object-X),((airport terminal-s OR grandstand-X) CLOSE ceiling-X),5.0
229,(object-X OR object-X OR scene),(pool table-X OR aircraft carrier-X OR boxing ring-s),5.3
230,(object-X OR scene OR scene),(grandstand-X OR movie theater-indoor-s OR theater-indoor procenium-s),4.4
231,(part-X OR object-X OR scene),(crosswalk-X OR pitch-X OR batters box-s),3.8
232,(object-X OR scene OR object-X),(cradle-X OR casino-outdoor-s OR water tower-X),4.7
233,(object-X OR scene OR object-X),(bridge-X OR viaduct-s OR roller coaster-X),4.7
234,((object-X OR object) CLOSE color-X),((desk-X OR case) CLOSE brown-c-X),5.4
235,(object-X OR object-X OR scene),(pitch-X OR path-X OR batters box-s),4.9
236,(scene OR object-X OR object-X),(field-wild-s OR windmill-X OR tower-X),3.9
237,(scene OR object-X OR object-X),(orchard-s OR helicopter-X OR plane-X),3.4
238,(object-X OR object-X OR scene),(pool table-X OR horse-X OR funeral chapel-s),4.4
239,((object-X AND color-X) OR scene),((mountain-X AND brown-c-X) OR kasbah-s),4.0
240,(object-X OR object-X OR scene),(court-X OR tennis court-X OR archaelogical excavation-s),4.3
241,(object-X OR scene OR object-X),(kitchen island-X OR amphitheater-s OR vineyard-X),4.3
242,((scene OR scene) CLOSE object-X),((corridor-s OR dorm room-s) CLOSE floor-X),5.0
243,(object-X CLOSE TO (scene OR part)),(wall-X CLOSE TO (living room-s OR drawer)),6.1
244,((object-X OR object-X) CLOSE TO object-X),((water-X OR river-X) CLOSE TO tree-X),6.0
245,((object CLOSE TO object-X) WITH object-X),((building CLOSE TO sky-X) WITH tree-X),4.8
246,(object-X OR scene OR object-X),(plane-X OR landing deck-s OR helicopter-X),4.2
247,(object-X CLOSE TO (part-X OR object)),(bed-X CLOSE TO (headboard-X OR pillow)),7.3
248,((part-X CLOSE object-X) OR scene),((shop window-X CLOSE building-X) OR fairway-s),2.7
249,(scene OR object-X OR object-X),(gas station-s OR arcade machine-X OR telephone booth-X),3.9
250,(scene CLOSE (object OR part)),(living room-s CLOSE (coffee table OR arm)),4.8
251,(object-X OR object-X OR object-X),(toilet-X OR sink-X OR bathtub-X),5.0
252,((object-X OR object-X) CLOSE object-X),((cradle-X OR plaything-X) CLOSE wall-X),4.9
253,((scene OR scene) CLOSE object),((reception-s OR waiting room-s) CLOSE wall),4.1
254,(part-X OR object OR scene),(crosswalk-X OR stairway OR amphitheater-s),4.0
255,((scene CLOSE object) OR scene),((conference room-s CLOSE table) OR synagogue-outdoor-s),4.2
256,(object-X OR object-X OR scene),(tent-X OR autobus-X OR greenhouse-outdoor-s),4.1
257,((scene AND object-X) OR scene),((alley-s AND building-X) OR subway interior-s),4.1
258,(object-X OR scene OR scene),(case-X OR casino-indoor-s OR shopping mall-indoor-s),3.9
259,(object-X OR material-X OR scene),(flower-X OR food-X OR greenhouse-indoor-s),5.5
260,(scene OR scene OR scene),(playground-s OR sandbox-s OR bullring-s),3.5
261,(scene OR scene OR scene),(bar-s OR wine cellar-barrel storage-s OR wine cellar-bottle storage-s),3.7
262,(object-X OR scene OR object-X),(field-X OR corridor-s OR valley-X),4.2
263,((object OR scene) CLOSE TO object-X),((skyscraper OR office building-s) CLOSE TO sky-X),5.6
264,(scene CLOSE (object-X OR color-X)),(street-s CLOSE (person-X OR orange-c-X)),4.4
265,((object-X OR scene) CLOSE color-X),((toilet-X OR cargo container interior-s) CLOSE grey-c-X),4.7
266,(object-X OR object-X OR scene),(apparel-X OR shirt-X OR operating room-s),4.2
267,(scene CLOSE TO object & object),(street-s CLOSE TO sky & road),4.7
268,((object-X CLOSE TO object-X) OR object-X),((road-X CLOSE TO sky-X) OR autobus-X),4.7
269,((object-X OR object-X) CLOSE object-X),((cradle-X OR ring-X) CLOSE wall-X),4.0
270,(scene OR scene OR scene),(mountain snowy-s OR zen garden-s OR ice skating rink-indoor-s),4.1
271,(object-X OR scene OR part-X),(aquarium-X OR amusement arcade-s OR screen-X),4.0
272,(object-X OR object-X OR scene),(bridge-X OR roller coaster-X OR rope bridge-s),5.3
273,(object-X OR object-X OR object-X),(tent-X OR rubbish-X OR rubble-X),3.3
274,((object-X WITH object-X) OR scene),((grass-X WITH rock-X) OR dolmen-s),4.7
275,(object-X OR object-X OR scene),(rock-X OR rubbish-X OR river-s),4.8
276,(scene OR scene OR object-X),(car interior-backseat-s OR sandbox-s OR dashboard-X),4.1
277,((object-X CLOSE TO object-X) OR scene),((field-X CLOSE TO sky-X) OR marsh-s),3.7
278,(scene OR object-X OR scene),(forest-broadleaf-s OR carousel-X OR forest-needleleaf-s),3.7
279,((object-X CLOSE TO object-X) OR scene),((sea-X CLOSE TO sky-X) OR crevasse-s),3.8
280,((object-X CLOSE TO object) AND NOT object-X),((road-X CLOSE TO tree) AND NOT grass-X),6.5
281,(scene OR scene OR object-X),(supermarket-s OR butchers shop-s OR sales booth-X),4.4
282,((scene CLOSE object) AND object-X),((street-s CLOSE sky) AND building-X),5.4
283,((object-X CLOSE object-X) OR object-X),((table-X CLOSE windowpane-X) OR desk-X),4.7
284,(object-X OR object-X OR object-X),(grandstand-X OR tennis court-X OR pitch-X),5.2
285,((scene CLOSE object-X) OR object-X),((attic-s CLOSE ceiling-X) OR pool table-X),5.2
286,((object AND color-X) OR scene),((plant AND green-c-X) OR greenhouse-indoor-s),4.3
287,(scene OR scene OR object-X),(harbor-s OR village-s OR island-X),4.1
288,(object-X OR scene OR material-X),(pool table-X OR bakery-shop-s OR food-X),4.8
289,((object CLOSE TO object) AND NOT scene),((mountain CLOSE TO sky) AND NOT mountain snowy-s),4.4
290,((scene OR object) CLOSE TO color),((bar-s OR house) CLOSE TO brown-c),4.1
291,(object-X OR scene OR object-X),(animal-X OR kennel-indoor-s OR cow-X),4.2
292,(object-X OR scene OR object),(bookcase-X OR pantry-s OR shelf),4.6
293,(scene CLOSE (object OR object)),(bathroom-s CLOSE (sink OR floor)),4.6
294,(object OR scene OR scene),(house OR fire escape-s OR rubble-s),4.7
295,(scene OR scene OR object-X),(cockpit-s OR bar-s OR slot machine-X),4.6
296,(object-X OR object-X OR object-X),(aqueduct-X OR swivel chair-X OR viaduct-X),4.7
297,((object-X OR scene) CLOSE object-X),((path-X OR forest road-s) CLOSE tree-X),6.4
298,scene,sauna-s,4.7
299,(scene OR scene OR scene),(gymnasium-indoor-s OR bowling alley-s OR jacuzzi-indoor-s),4.7
300,(scene OR scene OR object-X),(gas station-s OR roundabout-s OR water tower-X),4.6
301,((object-X CLOSE color-X) OR scene),((sea-X CLOSE green-c-X) OR boathouse-s),4.7
302,(object OR scene OR scene),(mountain OR cavern-indoor-s OR badlands-s),4.7
303,(scene OR object-X OR scene),(archive-s OR toilet-X OR bank vault-s),4.7
304,(object-X OR scene OR scene),(waterfall-X OR forest-broadleaf-s OR forest-needleleaf-s),4.5
305,(object-X OR object-X OR object-X),(pool table-X OR plane-X OR kitchen island-X),5.8
306,(scene OR object-X OR scene),(castle-s OR ruins-X OR moat-dry-s),4.5
307,(object-X OR scene OR scene),(bridge-X OR cloister-indoor-s OR covered bridge-interior-s),4.1
308,(object-X OR scene OR object-X),(washer-X OR laundromat-s OR viaduct-X),5.6
309,(scene OR object-X OR object-X),(greenhouse-indoor-s OR greenhouse-X OR playground-X),4.4
310,((scene CLOSE object) OR object-X),((bathroom-s CLOSE sink) OR toilet-X),8.1
311,(object-X OR scene OR scene),(hovel-X OR barn-s OR cavern-indoor-s),3.6
312,(scene OR scene OR scene),(cemetery-s OR computer room-s OR call center-s),4.7
313,(scene OR scene OR scene),(tower-s OR water tower-s OR amusement park-s),4.0
314,(scene OR scene OR scene),(corridor-s OR castle-s OR gymnasium-indoor-s),4.1
315,(scene OR object-X OR scene),(roundabout-s OR railroad train-X OR parking lot-s),3.9
316,(object CLOSE TO object & object-X),(building CLOSE TO sky & road-X),4.7
