neuron,category,formula,threshold
25,((((((scene CLOSE object-X) OR scene OR object OR scene) CLOSE TO object) AND object-X) AND NOT object-X) OR object OR scene),((((((corridor-s CLOSE floor-X) OR sauna-s OR elevator OR closet-s) CLOSE TO wall) AND wall-X) AND NOT wardrobe-X) OR elevator OR sauna-s),5.0
26,(object-X OR object-X OR scene OR object-X OR object-X OR scene OR object-X OR object-X OR object-X OR part-X),(pillar-X OR aqueduct-X OR viaduct-s OR arcade-X OR bandstand-X OR arch-s OR viaduct-X OR water tower-X OR gravestone-X OR arcades-X),4.1
27,(scene OR part-X OR object-X OR object OR object OR object-X OR object OR object-X OR scene OR scene),(cockpit-s OR wave-X OR viaduct-X OR hovel OR tent OR aqueduct-X OR fountain OR ice-X OR ski slope-s OR dolmen-s),3.1
28,((scene AND object) OR scene OR scene),((alley-s AND building) OR medina-s OR kasbah-s),5.1
29,((((object OR object-X OR scene OR scene OR part) AND NOT scene) OR object) AND NOT scene),((((house OR porch-X OR inn-outdoor-s OR town house-s OR balcony) AND NOT apartment building-outdoor-s) OR house) AND NOT alley-s),6.2
30,(((scene OR scene OR scene OR scene) AND NOT (object OR object OR object-X OR object-X)) OR scene),(((balcony-interior-s OR dinette-home-s OR control tower-indoor-s OR restaurant patio-s) AND NOT (door OR curtain OR armchair-X OR person-X)) OR control tower-indoor-s),5.5
31,(object-X OR object),(pool table-X OR arcade machine),4.6
32,((((((color OR scene OR scene) AND NOT color-X) OR object-X) AND NOT color) OR scene OR object-X) AND NOT object-X),((((((red-c OR fire station-s OR bullring-s) AND NOT orange-c-X) OR ring-X) AND NOT pink-c) OR throne room-s OR telephone booth-X) AND NOT bed-X),4.4
33,(((scene OR scene OR scene OR scene OR object-X OR scene OR scene) CLOSE TO object-X) OR object-X OR object-X),(((badlands-s OR desert-sand-s OR oasis-s OR hoodoo-s OR embankment-X OR canyon-s OR butte-s) CLOSE TO sky-X) OR dam-X OR badlands-X),4.4
34,(((((object-X CLOSE (object-X OR scene OR object-X)) WITH color-X) CLOSE TO object & object) AND NOT object) CLOSE TO (color-X AND NOT object-X)),(((((bed-X CLOSE (curtain-X OR childs room-s OR door-X)) WITH brown-c-X) CLOSE TO wall & bed) AND NOT door) CLOSE TO (brown-c-X AND NOT wall-X)),5.6
35,((object-X OR object-X OR object-X OR object OR scene OR scene OR scene OR scene) WITH (object-X OR object-X)),((sand-X OR tent-X OR caravan-X OR hovel OR manufactured home-s OR beach-s OR bayou-s OR islet-s) WITH (tree-X OR palm-X)),4.6
36,((object-X OR object-X OR object-X OR object-X OR object-X OR object-X OR object-X OR object OR scene) AND NOT object-X),((boat-X OR ship-X OR aircraft carrier-X OR lighthouse-X OR cannon-X OR pier-X OR pipe-X OR plane OR workshop-s) AND NOT shelf-X),4.5
37,(((scene OR scene OR object-X OR scene OR scene OR scene OR scene OR scene) CLOSE TO object) OR scene),(((subway interior-s OR airplane cabin-s OR swivel chair-X OR youth hostel-s OR berth-s OR gymnasium-indoor-s OR hospital room-s OR pilothouse-indoor-s) CLOSE TO wall) OR operating room-s),4.2
38,((scene OR object-X OR scene OR object OR scene OR object-X OR scene OR object-X OR scene) AND NOT object-X),((bullring-s OR lighthouse-X OR fairway-s OR plane OR batters box-s OR water tower-X OR baseball field-s OR pitch-X OR bullpen-s) AND NOT mountain-X),3.9
39,((((((((object-X CLOSE TO object-X) OR object-X OR object-X) AND NOT part) OR object) AND NOT scene) OR scene) AND NOT object-X) OR object-X),((((((((bed-X CLOSE TO windowpane-X) OR pool table-X OR swimming pool-X) AND NOT footboard) OR pillow) AND NOT hotel room-s) OR hotel-outdoor-s) AND NOT table-X) OR pool table-X),5.0
40,((object-X OR scene OR object OR object-X OR object) AND NOT (scene OR scene)),((pool table-X OR cockpit-s OR lockers OR bowling alley-X OR slot machine) AND NOT (bar-s OR amusement arcade-s)),4.1
41,(((scene OR object-X OR object-X OR object OR material) AND NOT object-X) OR scene),(((butchers shop-s OR rubble-X OR meat-X OR carousel OR food) AND NOT table-X) OR butchers shop-s),3.9
42,((((((object CLOSE TO object) WITH object-X) OR object-X) AND NOT object-X) AND object-X) AND NOT (scene OR part OR object OR scene)),((((((bed CLOSE TO wall) WITH floor-X) OR pillow-X) AND NOT floor-X) AND bed-X) AND NOT (dorm room-s OR footboard OR wall OR childs room-s)),11.4
43,((scene OR object-X OR scene OR scene OR object-X OR object OR object-X OR object-X OR object) AND NOT scene),((playground-s OR inflatable bounce game-X OR sandbox-s OR ball pit-s OR carousel-X OR tent OR ride-X OR roller coaster-X OR plaything) AND NOT toyshop-s),4.5
44,(((object-X OR object-X OR object-X OR scene OR scene OR object) AND NOT (scene OR scene)) OR scene),(((washer-X OR waterfall-X OR trench-X OR crevasse-s OR gulch-s OR washing machines) AND NOT (waterfall-fan-s OR bathroom-s)) OR car interior-backseat-s),4.8
45,((object OR part-X OR object OR scene) CLOSE TO (((((object-X OR object-X) AND NOT object) OR scene) AND NOT color) OR scene)),((house OR roof-X OR hovel OR barn-s) CLOSE TO (((((sky-X OR tree-X) AND NOT tree) OR cottage-s) AND NOT black-c) OR barnyard-s)),4.9
46,(object-X OR object OR object-X OR object OR object-X OR object-X OR object-X),(pool table-X OR washer OR bowling alley-X OR arcade machine OR table tennis-X OR synthesizer-X OR washing machines-X),4.5
47,(((part-X CLOSE color-X) OR object-X OR object-X OR scene OR object-X OR object-X) WITH ((color-X OR object-X) AND NOT object-X)),(((crosswalk-X CLOSE grey-c-X) OR tennis court-X OR pool table-X OR basketball court-outdoor-s OR pitch-X OR track-X) WITH ((green-c-X OR tree-X) AND NOT pitch-X)),5.0
48,(((((((object-X OR part-X) CLOSE (object-X OR object-X)) OR object) AND NOT object) OR object-X) CLOSE TO (object AND NOT object-X)) AND NOT scene),(((((((sink-X OR lid-X) CLOSE (wall-X OR cabinet-X)) OR washer) AND NOT mirror) OR countertop-X) CLOSE TO (wall AND NOT countertop-X)) AND NOT beauty salon-s),5.4
49,(((object-X CLOSE TO (object-X OR scene)) OR scene OR scene OR scene OR scene OR scene) AND NOT (color OR scene)),(((table-X CLOSE TO (chair-X OR conference room-s)) OR banquet hall-s OR lecture room-s OR conference center-s OR funeral chapel-s OR bistro-indoor-s) AND NOT (purple-c OR bar-s)),4.7
50,((((scene OR scene OR object OR scene OR scene OR scene) AND NOT object-X) OR part-X OR object-X) WITH object-X),((((cemetery-s OR mausoleum-s OR hovel OR manufactured home-s OR shed-s OR hut-s) AND NOT earth-X) OR column-X OR temple-X) WITH tree-X),3.6
51,(((scene CLOSE object) OR object-X OR object-X OR object-X OR object-X) CLOSE TO (((object-X AND NOT color) OR object-X) AND NOT object)),(((reception-s CLOSE counter) OR ticket counter-X OR box office-X OR bar-X OR counter-X) CLOSE TO (((wall-X AND NOT brown-c) OR computer-X) AND NOT bar)),4.8
52,(((((scene OR scene OR scene) AND NOT object) OR object OR object) CLOSE (object OR object-X OR scene)) OR scene),(((((forest-broadleaf-s OR forest path-s OR forest road-s) AND NOT tree) OR path OR dirt track) CLOSE (tree OR field-X OR mountain path-s)) OR oasis-s),5.3
53,((scene OR object-X OR object OR object-X OR scene OR object OR scene OR object OR object) AND NOT part-X),((sauna-s OR pier-X OR hovel OR deck-X OR shed-s OR footbridge OR military hut-s OR shed OR henhouse) AND NOT roof-X),4.7
54,(((((scene OR scene OR scene OR object-X) CLOSE object) OR scene OR object-X) WITH (object-X AND NOT color-X)) OR object-X),(((((airport terminal-s OR shopping mall-indoor-s OR airport ticket counter-s OR railroad train-X) CLOSE wall) OR amusement park-s OR escalator-X) WITH (ceiling-X AND NOT black-c-X)) OR aquarium-X),4.7
55,((scene OR object-X OR scene OR scene OR scene OR scene OR scene OR object-X) CLOSE (color OR color-X)),((kasbah-s OR ruins-X OR medina-s OR donjon-s OR catacomb-s OR castle-s OR mosque-outdoor-s OR arch-X) CLOSE (brown-c OR orange-c-X)),4.3
56,((((object-X OR object-X) CLOSE TO scene) OR object-X OR part-X OR object-X OR object) CLOSE TO ((object AND NOT object-X) OR part)),((((chair-X OR table-X) CLOSE TO dining room-s) OR pool table-X OR shade-X OR slot machine-X OR lamp) CLOSE TO ((wall AND NOT pool table-X) OR top)),6.3
57,(((scene OR object-X) CLOSE object-X) OR scene OR scene OR scene OR object-X OR object-X OR object-X OR object-X),(((excavation-s OR trench-X) CLOSE earth-X) OR sandbox-s OR archaelogical excavation-s OR dirt track-s OR bulldozer-X OR acropolis-X OR rubble-X OR excavator-X),4.3
58,(scene OR scene OR object-X OR object-X OR scene OR object OR object-X OR object-X OR scene OR object-X),(closet-s OR gas station-s OR telephone booth-X OR playground-X OR bank vault-s OR escalator OR revolving door-X OR elevator-X OR fitting room-exterior-s OR service station-X),4.3
59,(object-X OR object-X OR scene OR object-X OR scene OR scene OR object OR scene OR object-X OR scene),(plane-X OR helicopter-X OR galley-s OR dashboard-X OR limousine interior-s OR bus interior-s OR temple OR pagoda-s OR steering wheel-X OR car interior-backseat-s),3.8
60,(scene OR object-X OR scene OR object-X OR scene OR object-X OR object-X OR scene OR object OR object),(locker room-s OR screen door-X OR fitting room-interior-s OR elevator door-X OR fitting room-exterior-s OR shower-X OR shirt-X OR medina-s OR elevator OR apparel),5.2
61,(((object-X OR object-X OR scene OR object-X OR object-X OR object-X OR scene OR object-X) CLOSE TO object-X) OR object-X),(((helicopter-X OR plane-X OR arch-s OR bridge-X OR playground-X OR roller coaster-X OR cavern-indoor-s OR rock-X) CLOSE TO sky-X) OR helicopter-X),4.0
62,(((object-X OR scene OR object-X OR scene OR scene OR scene OR scene) AND NOT (scene OR object-X)) OR scene),(((field-X OR marsh-s OR bush-X OR corn field-s OR bayou-s OR river-s OR covered bridge-exterior-s) AND NOT (field-cultivated-s OR mountain-X)) OR bog-s),4.8
63,(scene OR scene OR scene OR object-X OR scene OR object-X OR object-X OR scene OR scene),(boxing ring-s OR wrestling ring-indoor-s OR catwalk-s OR track-X OR fitting room-interior-s OR tennis court-X OR podium-X OR mountain road-s OR labyrinth-indoor-s),3.8
64,((((object-X OR object-X OR object OR scene) AND NOT object) OR object-X OR object-X) AND NOT (scene OR object-X)),((((pool table-X OR arcade machine-X OR slot machine OR bus interior-s) AND NOT seat) OR table tennis-X OR dashboard-X) AND NOT (bar-s OR car-X)),4.9
65,(scene OR object-X OR object-X OR scene OR part-X OR object-X OR scene OR scene OR scene OR scene),(hospital-s OR fountain-X OR ice rink-X OR bullring-s OR windows-X OR ring-X OR atrium-public-s OR parking garage-outdoor-s OR airport-entrance-s OR formal garden-s),4.3
66,(((scene OR scene OR scene OR scene OR scene OR object OR scene) CLOSE TO (object OR object)) OR scene),(((bus interior-s OR youth hostel-s OR dinette-vehicle-s OR dining car-s OR pilothouse-indoor-s OR pillow OR carrousel-s) CLOSE TO (wall OR windowpane)) OR bus interior-s),4.6
67,(((((scene OR scene OR scene OR object-X OR scene) CLOSE TO (object-X AND NOT object)) OR object-X) CLOSE TO color-X) OR object-X),(((((park-s OR playground-s OR volleyball court-outdoor-s OR sidewalk-X OR gazebo-exterior-s) CLOSE TO (tree-X AND NOT tree)) OR service station-X) CLOSE TO green-c-X) OR shelter-X),4.8
68,((((scene OR scene OR scene) CLOSE object-X) OR part OR object-X OR scene) AND NOT object),((((classroom-s OR lecture room-s OR cafeteria-s) CLOSE wall-X) OR head OR blackboard-X OR lecture room-s) AND NOT seat),4.6
69,(scene OR scene OR object-X OR object-X OR object OR object-X OR object OR object OR object OR scene),(shed-s OR outhouse-outdoor-s OR elevator door-X OR elevator-X OR arcade machine OR telephone booth-X OR henhouse OR washer OR pool table OR elevator-interior-s),4.5
70,((((((object-X OR scene) AND NOT part-X) OR object-X OR object-X) CLOSE TO ((object-X AND NOT color-X) OR object)) AND NOT color-X) OR object),((((((bed-X OR ball pit-s) AND NOT footboard-X) OR cushion-X OR cradle-X) CLOSE TO ((wall-X AND NOT brown-c-X) OR ball)) AND NOT brown-c-X) OR pillow),4.7
71,((scene OR part-X OR object-X OR object-X OR part-X OR scene OR scene OR scene) AND NOT (scene OR object-X)),((lobby-s OR balcony-X OR slot machine-X OR bowling alley-X OR arcades-X OR movie theater-outdoor-s OR throne room-s OR food court-s) AND NOT (apartment building-outdoor-s OR house-X)),4.5
72,(((object OR scene OR scene OR object OR scene OR object OR object-X) CLOSE TO (color OR object)) OR scene),(((water OR classroom-s OR marsh-s OR river OR lecture room-s OR pond OR lake-X) CLOSE TO (green-c OR chair)) OR marsh-s),3.5
73,(object-X OR part-X OR object-X OR object-X OR scene OR object-X OR scene OR scene OR scene OR object-X),(railroad train-X OR wave-X OR cow-X OR smoke-X OR barn-s OR horse-X OR ranch house-s OR manufactured home-s OR ranch-s OR grill-X),3.5
74,((((object-X CLOSE TO object-X) OR scene OR scene OR object-X) CLOSE TO color-X) OR scene OR scene OR object-X OR scene),((((building-X CLOSE TO grass-X) OR formal garden-s OR topiary garden-s OR ruins-X) CLOSE TO green-c-X) OR temple-east asia-s OR cloister-outdoor-s OR bandstand-X OR mission-s),5.1
75,((((scene OR object-X OR scene OR scene OR object-X OR scene OR object-X) AND NOT object) OR object-X) AND NOT object-X),((((jail cell-s OR grill-X OR badlands-s OR runway-s OR grille door-X OR kennel-outdoor-s OR scaffolding-X) AND NOT house) OR playground-X) AND NOT field-X),4.2
76,(scene OR scene OR scene OR object-X OR object-X OR scene OR scene),(car interior-backseat-s OR catwalk-s OR rope bridge-s OR dashboard-X OR manhole-X OR auto showroom-s OR covered bridge-interior-s),3.7
77,(((object-X OR scene OR scene OR object-X OR scene) AND NOT object) OR scene OR scene OR object-X OR object-X),(((sea-X OR industrial area-s OR harbor-s OR railway-X OR waterfall-block-s) AND NOT sea) OR nuclear power plant-outdoor-s OR viaduct-s OR pier-X OR railroad train-X),3.7
78,(color-X CLOSE TO (((object-X OR scene OR scene OR scene OR object-X OR object-X OR scene) AND NOT object) OR scene)),(green-c-X CLOSE TO (((hedge-X OR topiary garden-s OR hedge maze-s OR formal garden-s OR vineyard-X OR island-X OR zen garden-s) AND NOT hedge) OR cottage garden-s)),5.0
79,(scene OR scene OR object-X OR scene OR object-X OR scene OR object-X OR object OR object-X OR object-X),(supermarket-s OR assembly line-s OR stands-X OR auto factory-s OR jersey-X OR checkout counter-s OR machinery-X OR machine OR controls-X OR pipe-X),3.7
80,((((((object-X OR object) CLOSE object-X) AND object-X AND color-X) OR scene OR scene) CLOSE TO object & color) OR object),((((((runway-X OR road) CLOSE sky-X) AND sky-X AND grey-c-X) OR airport-s OR arrival gate-outdoor-s) CLOSE TO sky & grey-c) OR water tower),5.3
81,(scene OR scene OR object-X OR object-X OR scene OR scene OR object OR scene OR object-X OR object-X),(gazebo-exterior-s OR temple-east asia-s OR canopy-X OR carousel-X OR joss house-s OR throne room-s OR big top OR pagoda-s OR temple-X OR shelter-X),3.9
82,(((scene OR scene OR part-X OR object-X OR scene OR object OR scene) CLOSE (color AND NOT object)) OR object-X),(((home theater-s OR television studio-s OR screen-X OR stage-X OR parking garage-outdoor-s OR grandstand OR booth-indoor-s) CLOSE (black-c AND NOT grandstand)) OR gate-X),3.6
83,((object-X OR scene OR object-X OR object-X OR object-X OR scene OR scene) AND NOT (scene OR object-X)),((case-X OR classroom-s OR bar-X OR blackboard-X OR patty-X OR lecture room-s OR assembly line-s) AND NOT (kitchen-s OR pool table-X)),3.8
84,((object-X OR object OR scene OR object OR scene OR scene OR scene OR object-X OR scene) AND NOT object-X),((escalator-X OR skyscraper OR rope bridge-s OR tent OR elevator shaft-s OR oast house-s OR covered bridge-interior-s OR clock-X OR subway station-corridor-s) AND NOT skyscraper-X),4.1
85,((((object OR scene OR scene OR scene OR scene OR object-X) AND NOT object) OR part OR object-X) AND NOT scene),((((house OR jail cell-s OR jail-indoor-s OR archive-s OR kennel-indoor-s OR lockers-X) AND NOT house) OR balcony OR merchandise-X) AND NOT street-s),4.8
86,((((((((object CLOSE TO object-X) AND NOT scene) WITH object-X) OR scene) CLOSE TO (color-X OR object)) OR object-X) AND NOT scene) OR scene),((((((((building CLOSE TO sky-X) AND NOT street-s) WITH road-X) OR banquet hall-s) CLOSE TO (blue-c-X OR windowpane)) OR village-X) AND NOT skyscraper-s) OR industrial park-s),3.7
87,((scene OR scene OR object-X OR scene OR scene) AND NOT object-X),((alley-s OR corridor-s OR dirt track-X OR medina-s OR forest road-s) AND NOT path-X),5.2
88,(((object-X OR object-X OR scene) AND NOT object) OR object-X OR object),(((fountain-X OR waterfall-X OR fountain-s) AND NOT rock) OR hot tub-X OR waterfall),4.7
89,(((object-X CLOSE TO color) OR object-X) WITH (((color-X OR object-X OR scene OR object-X OR scene) AND NOT color-X) OR scene)),(((mountain-X CLOSE TO blue-c) OR waterfall-X) WITH (((green-c-X OR hill-X OR mountain-s OR waterfall-X OR street-s) AND NOT blue-c-X) OR mountain path-s)),4.6
90,(((scene OR scene OR scene OR scene OR object-X OR object-X OR scene) AND NOT (object-X OR object-X)) OR object),(((carrousel-s OR auto factory-s OR kennel-indoor-s OR subway interior-s OR scaffolding-X OR lockers-X OR assembly line-s) AND NOT (person-X OR sidewalk-X)) OR carousel),4.4
91,((((object-X OR scene OR scene OR scene OR object) AND NOT object) OR object) CLOSE (object OR object-X OR object)),((((tent-X OR pasture-s OR junkyard-s OR barn-s OR cow) AND NOT grass) OR henhouse) CLOSE (grass OR earth-X OR cow)),4.2
92,((((object-X OR object OR object-X OR object-X OR object-X) CLOSE TO (object AND NOT (object-X OR object-X))) AND NOT object-X) OR object-X),((((road-X OR bridge OR aqueduct-X OR viaduct-X OR signboard-X) CLOSE TO (sky AND NOT (building-X OR road-X))) AND NOT building-X) OR aqueduct-X),4.7
93,(((((object-X CLOSE TO (object OR object)) OR scene OR object-X) CLOSE TO color) OR scene OR scene OR scene) CLOSE TO object-X),(((((tree-X CLOSE TO (grass OR house)) OR zen garden-s OR hovel-X) CLOSE TO black-c) OR mausoleum-s OR amusement park-s OR temple-east asia-s) CLOSE TO tree-X),4.8
94,(((object-X OR object) AND color) OR object-X OR scene OR object-X OR part-X OR scene OR scene OR scene),(((plant-X OR field) AND green-c) OR toilet-X OR rope bridge-s OR terraces-X OR fire escape-X OR assembly line-s OR swimming pool-indoor-s OR jail cell-s),4.2
95,(object-X OR scene OR scene OR part-X OR scene OR object-X OR scene),(pool table-X OR sandbox-s OR cheese factory-s OR head-X OR bakery-kitchen-s OR bowling alley-X OR auto mechanics-indoor-s),3.8
96,(object-X OR object-X OR scene OR object-X OR object-X OR scene OR scene OR scene),(court-X OR tennis court-X OR volleyball court-outdoor-s OR pitch-X OR net-X OR basketball court-outdoor-s OR badminton court-outdoor-s OR labyrinth-indoor-s),5.0
97,((scene OR scene OR object-X OR object-X OR object OR object-X) AND NOT (object-X OR object-X)),((carrousel-s OR gazebo-exterior-s OR water tower-X OR carousel-X OR big top OR bandstand-X) AND NOT (house-X OR chair-X)),3.8
98,(((scene OR object-X OR scene OR object-X OR object-X OR object OR object-X) AND NOT object-X) OR object-X OR scene),(((cockpit-s OR tower-X OR bank vault-s OR elevator door-X OR pulpit-X OR elevator OR bandstand-X) AND NOT building-X) OR altar-X OR apse-indoor-s),4.0
99,(object-X OR scene OR object-X OR scene OR object-X OR object-X OR object-X OR object-X OR object-X OR part-X),(dome-X OR arch-s OR tunnel-X OR observatory-outdoor-s OR aqueduct-X OR mosque-X OR arch-X OR vault-X OR manhole-X OR arcades-X),4.6
100,((((scene CLOSE object) OR object-X OR object-X) AND NOT object) CLOSE TO ((object OR object) AND NOT (object-X OR object-X OR object-X))),((((bathroom-s CLOSE sink) OR bathtub-X OR toilet-X) AND NOT door) CLOSE TO ((wall OR mirror) AND NOT (bathtub-X OR sink-X OR toilet-X))),4.9
101,((((scene CLOSE object-X) AND object-X) OR object-X OR scene OR object OR object-X) CLOSE TO (object-X AND NOT (object-X OR object))),((((bathroom-s CLOSE floor-X) AND wall-X) OR toilet-X OR shower-s OR cradle OR bathtub-X) CLOSE TO (wall-X AND NOT (bathtub-X OR wall))),5.0
102,(((((scene OR scene OR scene) CLOSE object-X) OR object-X) AND object-X) OR object-X OR object-X OR scene OR scene),(((((corridor-s OR subway interior-s OR elevator lobby-s) CLOSE ceiling-X) OR box office-X) AND wall-X) OR revolving door-X OR box office-X OR manufactured home-s OR military hut-s),5.4
103,(object-X OR object-X OR part-X OR part-X),(cradle-X OR autobus-X OR fire escape-X OR safety side-X),4.6
104,(((((object-X CLOSE TO object-X) OR object-X OR object-X OR object-X) AND NOT scene) OR scene) AND NOT object),(((((sea-X CLOSE TO sky-X) OR waterfall-X OR island-X OR iceberg-X) AND NOT lighthouse-s) OR fjord-s) AND NOT sand),5.0
105,(((((object-X OR scene) CLOSE (color-X AND NOT object)) OR scene OR scene OR object-X OR scene) AND NOT object) OR scene),(((((rock-X OR mountain-s) CLOSE (green-c-X AND NOT tree)) OR mountain path-s OR temple-east asia-s OR valley-X OR zen garden-s) AND NOT tree) OR mountain path-s),3.6
