neuron,category,formula,threshold
31,(object-X OR object OR object-X OR object-X OR object),(pool table-X OR arcade machine OR television camera-X OR skeleton-X OR table tennis),4.6
32,(((color AND NOT color) OR object OR object OR object OR scene OR scene OR object) CLOSE TO (color OR object)),(((red-c AND NOT pink-c) OR ring OR lighthouse OR telephone booth OR fire station-s OR bullring-s OR autobus) CLOSE TO (red-c OR truck)),4.4
33,((object-X OR object-X OR object-X OR object-X OR scene OR object OR scene OR scene OR object) AND NOT scene),((hill-X OR badlands-X OR embankment-X OR dam-X OR desert-sand-s OR tent OR oasis-s OR hoodoo-s OR semidesert ground) AND NOT valley-s),4.4
34,(((object-X CLOSE TO (object-X OR object-X OR object)) WITH color-X) CLOSE TO ((object-X AND NOT (object-X OR color)) OR object OR object)),(((bed-X CLOSE TO (windowpane-X OR door-X OR curtain)) WITH brown-c-X) CLOSE TO ((wall-X AND NOT (bed-X OR brown-c)) OR double door OR table)),5.6
35,((((object-X OR object-X OR object-X OR object OR object-X) WITH object-X) OR object-X OR object-X) CLOSE TO (object-X OR object)),((((sand-X OR tent-X OR caravan-X OR hovel OR sea-X) WITH tree-X) OR water-X OR truck-X) CLOSE TO (tree-X OR tent)),4.6
36,(object-X OR object-X OR object-X OR object-X OR object OR object-X OR object OR object OR object OR object),(boat-X OR ship-X OR lighthouse-X OR aircraft carrier-X OR water tower OR cannon-X OR crane OR watchtower OR windmill OR dam),4.5
37,(((((object-X OR object-X OR scene OR object-X OR object-X OR scene) CLOSE TO object-X) OR object-X) WITH object-X) OR object-X),(((((swivel chair-X OR pillow-X OR airplane cabin-s OR machine-X OR stretcher-X OR subway interior-s) CLOSE TO wall-X) OR equipment-X) WITH floor-X) OR dog-X),4.2
38,((((object-X OR object OR object-X OR object-X OR object OR object-X OR scene) AND NOT object) OR object) AND NOT object),((((lighthouse-X OR plane OR bullring-X OR water tower-X OR pitch OR village-X OR batters box-s) AND NOT grass) OR plane) AND NOT sea),3.9
39,((((((object-X CLOSE TO part) OR object-X) AND NOT part) OR object-X) AND NOT object-X) OR object-X OR object-X OR object),((((((bed-X CLOSE TO headboard) OR pool table-X) AND NOT headboard) OR swimming pool-X) AND NOT table-X) OR mat-X OR pool table-X OR pillow),5.0
40,((object-X OR object-X OR object OR object OR object-X OR object) AND NOT scene),((pool table-X OR controls-X OR instrument panel OR lockers OR bowling alley-X OR slot machine) AND NOT bar-s),4.1
41,(((object OR object-X) CLOSE TO (color-X OR color)) OR scene OR object-X OR object-X OR object OR material OR object),(((bed OR mountain-X) CLOSE TO (red-c-X OR pink-c)) OR butchers shop-s OR rubble-X OR meat-X OR badlands OR food OR eiderdown),3.9
42,(((object OR object OR object-X) AND NOT (part OR part)) CLOSE (((part OR object) AND NOT (scene OR scene)) OR part)),(((bed OR cushion OR eiderdown-X) AND NOT (headboard OR footboard)) CLOSE (((headboard OR pillow) AND NOT (nursery-s OR dorm room-s)) OR side rail)),11.4
43,(object-X OR object OR object-X OR object-X OR object OR object-X OR object OR object-X OR object-X OR object-X),(playground-X OR inflatable bounce game OR plaything-X OR tent-X OR ball OR sandbox-X OR ride OR helicopter-X OR roller coaster-X OR slide-X),4.5
44,(((((object-X OR object-X OR object-X OR object OR scene) AND NOT object) OR object OR object) AND NOT object-X) OR object),(((((washer-X OR waterfall-X OR trench-X OR washing machines OR crevasse-s) AND NOT water) OR dam OR tumble dryer) AND NOT floor-X) OR washing machines),4.8
45,(((object OR part OR object-X OR object) AND NOT object) OR object),(((house OR roof OR pavilion-X OR cabin) AND NOT windowpane) OR shelter),4.9
46,(object-X OR object OR object-X OR object-X OR object-X OR object),(pool table-X OR washer OR bowling alley-X OR table tennis-X OR synthesizer-X OR washing machines),4.5
47,((((part-X CLOSE color-X) OR object-X OR object-X OR object-X OR object-X OR object OR scene) AND NOT object) OR object-X),((((crosswalk-X CLOSE grey-c-X) OR pool table-X OR tennis court-X OR pitch-X OR table tennis-X OR track OR basketball court-outdoor-s) AND NOT building) OR tennis court-X),5.0
48,((object-X OR object-X OR object-X OR object-X OR object-X) CLOSE TO (object-X AND NOT (object-X OR object-X OR object-X OR object))),((sink-X OR toilet-X OR countertop-X OR washer-X OR dishwasher-X) CLOSE TO (wall-X AND NOT (countertop-X OR sink-X OR toilet-X OR washer))),5.4
49,((object-X OR scene OR scene OR scene OR object) CLOSE TO ((object OR object-X OR scene OR scene) AND NOT part-X)),((table-X OR conference center-s OR lecture room-s OR bistro-indoor-s OR flower) CLOSE TO ((chair OR swivel chair-X OR banquet hall-s OR classroom-s) AND NOT back-X)),4.7
50,(((object OR scene OR object) CLOSE TO (color OR object)) OR part OR object OR object OR object OR part-X),(((house OR cemetery-s OR hovel) CLOSE TO (grey-c OR gravestone)) OR monitor OR shed OR caravan OR temple OR column-X),3.6
51,((object-X OR object-X OR object OR object-X) AND NOT (object OR object-X OR object OR scene)),((counter-X OR ticket counter-X OR box office OR bar-X) AND NOT (bar OR case-X OR table OR art gallery-s)),4.8
52,(((((object-X OR object-X) CLOSE TO (object OR object)) AND color-X) OR object-X) CLOSE TO ((color AND NOT object) OR object OR object)),(((((tree-X OR mountain-X) CLOSE TO (path OR road)) AND green-c-X) OR dirt track-X) CLOSE TO ((green-c AND NOT tree) OR earth OR field)),5.3
53,(((object-X OR object-X OR object OR object-X OR object OR object OR object OR part-X) AND NOT object-X) OR object),(((bench-X OR pier-X OR hovel OR deck-X OR footbridge OR shed OR henhouse OR metal shutter-X) AND NOT floor-X) OR footbridge),4.7
54,(((scene OR object OR object-X OR object OR object-X OR object-X) CLOSE ((object OR scene) AND NOT object)) OR object-X),(((airport terminal-s OR building OR pillar-X OR escalator OR aquarium-X OR railroad train-X) CLOSE ((person OR shopping mall-indoor-s) AND NOT building)) OR ticket counter-X),4.7
55,(((object-X CLOSE TO (scene OR scene OR scene)) OR object OR object OR object OR object-X OR object) AND NOT object),(((building-X CLOSE TO (kasbah-s OR castle-s OR moat-water-s)) OR ruins OR mosque OR tower OR niche-X OR acropolis) AND NOT field),4.3
56,(((object-X AND scene) OR object-X OR object-X OR object OR object-X) CLOSE TO ((object AND NOT object-X) OR part OR object)),(((table-X AND dining room-s) OR pool table-X OR sconce-X OR lamp OR slot machine-X) CLOSE TO ((wall AND NOT pool table-X) OR top OR mirror)),6.3
57,((((object-X OR scene) CLOSE (object-X OR scene)) OR object-X OR object-X OR object-X OR object-X OR object-X) AND NOT object-X),((((earth-X OR sandbox-s) CLOSE (person-X OR excavation-s)) OR trench-X OR bulldozer-X OR acropolis-X OR rubble-X OR excavator-X) AND NOT dirt track-X),4.3
58,(((((object-X OR object-X OR object-X) AND NOT object) OR object-X OR object OR object-X OR object) AND NOT object-X) OR object-X),(((((door-X OR telephone booth-X OR playground-X) AND NOT door) OR service station-X OR escalator OR gas station-X OR revolving door) AND NOT door-X) OR elevator-X),4.3
59,(object-X OR object-X OR object-X OR object OR object-X OR scene OR object-X),(plane-X OR helicopter-X OR dashboard-X OR temple OR steering wheel-X OR limousine interior-s OR cannon-X),3.8
60,(object-X OR object-X OR object-X OR object-X OR object OR scene OR object-X OR object OR object OR part),(screen door-X OR lockers-X OR elevator door-X OR shower-X OR apparel OR fitting room-interior-s OR shirt-X OR elevator OR grille door OR lid),5.2
61,(((object-X OR object-X OR object-X OR object-X OR object-X OR object OR scene) CLOSE TO (object-X OR object-X)) OR object-X),(((plane-X OR helicopter-X OR bridge-X OR arch-X OR roller coaster-X OR rock OR cavern-indoor-s) CLOSE TO (sky-X OR helicopter-X)) OR playground-X),4.0
62,((((((object-X OR object-X OR object-X) CLOSE TO (object OR scene OR scene)) OR scene) AND NOT object) OR object-X) AND NOT scene),((((((water-X OR field-X OR river-X) CLOSE TO (tree OR corn field-s OR wheat field-s)) OR marsh-s) AND NOT river) OR covered bridge-X) AND NOT field-cultivated-s),4.8
63,(((object OR object-X OR object-X OR object-X OR object-X OR part-X OR object-X) AND NOT object) OR part-X OR object-X),(((person OR track-X OR ring-X OR tennis court-X OR court-X OR crosswalk-X OR catwalk-X) AND NOT person) OR leg-X OR podium-X),3.8
64,(((object-X OR object OR object-X OR object-X OR object-X) CLOSE TO ((object-X AND NOT object) OR object-X OR object)) OR object-X),(((pool table-X OR arcade machine OR slot machine-X OR table tennis-X OR dashboard-X) CLOSE TO ((wall-X AND NOT pool table) OR windowpane-X OR arcade machine)) OR steering wheel-X),4.9
65,(((object-X OR part-X OR object-X OR object-X OR object-X OR object-X OR scene OR object-X) AND NOT object) OR object),(((fountain-X OR windows-X OR ice rink-X OR ring-X OR bullring-X OR horse-X OR hospital-s OR mezzanine-X) AND NOT fence) OR ice rink),4.3
66,((((((object-X CLOSE object-X) OR object) AND NOT object-X) OR part-X OR object-X) AND NOT object-X) OR object),((((((seat-X CLOSE windowpane-X) OR pillow) AND NOT cushion-X) OR headboard-X OR mattress-X) AND NOT chair-X) OR service station),4.6
67,(((((object-X OR object-X OR scene) CLOSE TO object-X) OR object-X OR object-X OR object-X) CLOSE TO color-X) OR object-X OR object),(((((sidewalk-X OR path-X OR volleyball court-outdoor-s) CLOSE TO tree-X) OR shelter-X OR bandstand-X OR fountain-X) CLOSE TO green-c-X) OR service station-X OR shelter),4.8
68,(((((scene OR scene) AND NOT object-X) CLOSE object-X) OR part OR object OR scene) AND NOT (object OR object OR scene)),(((((classroom-s OR lecture room-s) AND NOT floor-X) CLOSE floor-X) OR head OR blackboard OR cafeteria-s) AND NOT (seat OR bookcase OR conference room-s)),4.6
69,(object OR object OR object OR object OR object-X OR object OR object OR object OR object OR object),(pool table OR elevator OR elevator door OR washer OR telephone booth-X OR henhouse OR arcade machine OR hovel OR dishwasher OR shed),4.5
70,((((((object-X OR object) AND NOT part-X) OR object-X OR object OR object-X) AND NOT (scene OR color)) OR object-X) AND NOT scene),((((((cushion-X OR bed) AND NOT footboard-X) OR pillow-X OR ball OR cradle-X) AND NOT (living room-s OR red-c)) OR cushion-X) AND NOT living room-s),4.7
71,(((object AND color-X) CLOSE TO (object-X OR part-X)) OR object-X OR object-X OR object OR part-X OR part OR object),(((building AND black-c-X) CLOSE TO (windowpane-X OR balcony-X)) OR slot machine-X OR bowling alley-X OR washing machines OR arcades-X OR balcony OR trade name),4.5
72,((object OR object OR object OR object-X OR object-X) CLOSE TO ((((color-X AND NOT object) OR object) AND NOT object) OR object)),((water OR river OR pond OR lake-X OR plane-X) CLOSE TO ((((green-c-X AND NOT water) OR earth) AND NOT mountain) OR land)),3.5
73,((object AND color-X) OR object OR object-X OR object-X OR part OR object-X OR object-X OR object OR object-X),((mountain AND blue-c-X) OR railroad train OR smoke-X OR cow-X OR wave OR horse-X OR dog-X OR animal OR grill-X),3.5
74,((((object-X CLOSE TO object-X) OR object) CLOSE TO color) OR object OR object OR object-X OR scene OR object-X OR scene),((((building-X CLOSE TO grass-X) OR ruins) CLOSE TO green-c) OR temple OR bandstand OR tunnel-X OR formal garden-s OR fountain-X OR topiary garden-s),5.1
75,(((object-X OR object-X OR object-X OR object-X OR object) CLOSE TO color) OR object OR scene OR object-X OR object-X),(((fence-X OR grill-X OR runway-X OR grille door-X OR cradle) CLOSE TO grey-c) OR badlands OR jail cell-s OR playground-X OR grill-X),4.2
76,(((object-X OR object-X OR object-X OR object-X OR object OR object-X) CLOSE TO ((object-X OR scene) AND NOT object)) OR object-X),(((seat-X OR catwalk-X OR washer-X OR dashboard-X OR car OR washing machines-X) CLOSE TO ((floor-X OR car interior-backseat-s) AND NOT seat)) OR manhole-X),3.7
77,(object-X OR object-X OR object-X OR object-X OR object OR object OR object OR object-X OR object-X OR object-X),(boat-X OR chimney-X OR railway-X OR aircraft carrier-X OR waterfall OR tower OR ship OR viaduct-X OR dam-X OR aqueduct-X),3.7
78,((((((object OR scene) AND color-X) OR object-X OR object-X) AND color-X) OR object) AND NOT (object OR scene OR object)),((((((plant OR topiary garden-s) AND green-c-X) OR hedge-X OR vineyard-X) AND green-c-X) OR island) AND NOT (rock OR greenhouse-indoor-s OR field)),5.0
79,((object-X OR object-X OR object-X OR object-X OR part-X OR object OR object-X OR object OR scene) AND NOT object-X),((shelf-X OR stands-X OR controls-X OR machinery-X OR engine-X OR machine OR cart-X OR sales booth OR assembly line-s) AND NOT bottle-X),3.7
80,(((((object-X OR object-X) CLOSE TO object) AND object-X) OR object OR object-X OR object-X OR object-X OR object-X) CLOSE TO object),(((((runway-X OR road-X) CLOSE TO sky) AND sky-X) OR water tower OR mosque-X OR runway-X OR shipyard-X OR crane-X) CLOSE TO sky),5.3
81,((object-X OR object OR object-X OR object OR object OR object-X OR object OR object-X OR object-X) AND NOT object-X),((canopy-X OR temple OR bandstand-X OR big top OR carousel OR shelter-X OR tent OR toll booth-X OR altar-X) AND NOT building-X),3.9
82,((part-X OR object-X OR object-X OR object-X OR object-X OR part-X OR object OR scene OR object-X) CLOSE TO color),((monitor-X OR television-X OR crt screen-X OR gate-X OR television camera-X OR entrance-X OR covered bridge OR parking garage-outdoor-s OR silver screen-X) CLOSE TO black-c),3.6
83,((object-X OR object-X OR object-X OR object-X) AND NOT (object OR object-X OR object)),((case-X OR bar-X OR blackboard-X OR patty-X) AND NOT (counter OR pool table-X OR pedestal)),3.8
84,(object OR object OR object-X OR object-X OR scene OR object OR scene OR object-X OR object OR scene),(skyscraper OR tent OR escalator-X OR clock-X OR elevator shaft-s OR plane OR rope bridge-s OR instrument panel-X OR dome OR covered bridge-interior-s),4.1
85,(((object OR part-X) CLOSE TO color-X) OR object-X OR object OR object OR object-X OR scene OR part-X OR part),(((house OR balcony-X) CLOSE TO black-c-X) OR grille door-X OR lockers OR binder OR merchandise-X OR jail-indoor-s OR windows-X OR balcony),4.8
86,((((((object AND color-X) OR object OR scene) CLOSE TO color-X) OR object-X) CLOSE TO color-X) OR object-X OR object OR part),((((((building AND white-c-X) OR house OR industrial park-s) CLOSE TO blue-c-X) OR village-X) CLOSE TO white-c-X) OR village-X OR covered bridge OR garage door),3.7
87,(((((scene CLOSE color) OR object-X OR object-X OR object) AND NOT object-X) OR object-X) AND NOT (object-X OR scene)),(((((alley-s CLOSE grey-c) OR dirt track-X OR path-X OR platform) AND NOT floor-X) OR bowling alley-X) AND NOT (water-X OR forest road-s)),5.2
88,(((object-X OR object-X OR object-X OR object-X OR object-X OR object-X OR object-X OR object) AND NOT object) OR object),(((fountain-X OR waterfall-X OR hot tub-X OR baptismal font-X OR monument-X OR smoke-X OR decoration-X OR sculpture) AND NOT rock) OR waterfall),4.7
89,(((((object-X CLOSE TO color & object-X) OR object-X) AND NOT scene) OR object-X) AND NOT (object OR object OR scene)),(((((mountain-X CLOSE TO blue-c & sky-X) OR waterfall-X) AND NOT mountain snowy-s) OR village-X) AND NOT (water OR river OR river-s)),4.6
90,(object OR object-X OR object-X OR object-X OR object OR scene OR object OR object OR object),(fence OR carousel-X OR scaffolding-X OR grille door-X OR lockers OR auto factory-s OR merchandise OR vineyard OR partition),4.4
91,(((((object-X OR object-X OR object-X) AND NOT object) OR scene) AND NOT (object OR color)) CLOSE (object OR object OR object-X)),(((((grass-X OR tent-X OR cow-X) AND NOT grass) OR junkyard-s) AND NOT (earth OR orange-c)) CLOSE (grass OR earth OR cow-X)),4.2
92,((((object-X AND scene) OR object OR object-X OR object-X OR object) AND NOT object) OR object OR object OR object),((((road-X AND highway-s) OR bridge OR aqueduct-X OR viaduct-X OR lighthouse) AND NOT road) OR cow OR windmill OR bridge),4.7
93,((((((object-X CLOSE TO ((object OR object) AND NOT object-X)) OR object OR scene) CLOSE TO color-X) WITH color-X) OR object) CLOSE TO object-X),((((((tree-X CLOSE TO ((grass OR house) AND NOT tree-X)) OR hovel OR zen garden-s) CLOSE TO black-c-X) WITH green-c-X) OR railing) CLOSE TO tree-X),4.8
94,((object-X OR part-X OR object-X OR object-X OR object OR scene OR object-X) AND NOT (object OR object-X OR object-X)),((toilet-X OR fire escape-X OR sink-X OR terraces-X OR swimming pool OR rope bridge-s OR machine-X) AND NOT (plant OR river-X OR sea-X)),4.2
95,((((object-X OR object-X OR part-X OR object OR object) AND NOT object) OR object OR object-X) AND NOT part-X),((((pool table-X OR sandbox-X OR head-X OR bowling alley OR stove) AND NOT oven) OR sink OR manhole-X) AND NOT drawer-X),3.8
96,((object-X OR object-X OR object-X OR object-X OR object-X OR scene) AND NOT object-X),((court-X OR tennis court-X OR pitch-X OR net-X OR sand trap-X OR volleyball court-outdoor-s) AND NOT track-X),5.0
97,(object-X OR object-X OR object-X OR object OR object-X OR object-X OR object OR object-X OR object-X OR object),(carousel-X OR bandstand-X OR water tower-X OR big top OR control tower-X OR ride-X OR service station OR porch-X OR umbrella-X OR playground),3.8
98,(object-X OR object-X OR object OR object-X OR object OR object OR object OR object-X OR object OR object),(tower-X OR controls-X OR elevator door OR instrument panel-X OR pulpit OR elevator OR bandstand OR control tower-X OR altar OR telephone booth),4.0
99,(object OR object OR object-X OR object-X OR object-X OR part-X OR object-X OR object-X OR object-X OR object-X),(dome OR tunnel OR arch-X OR aqueduct-X OR mosque-X OR arcades-X OR vault-X OR arcade-X OR niche-X OR manhole-X),4.6
100,((((scene CLOSE TO object-X) OR part-X OR object-X OR object-X OR object-X) CLOSE TO ((object OR object-X) AND NOT object-X)) OR part),((((bathroom-s CLOSE TO sink-X) OR lid-X OR bathtub-X OR countertop-X OR toilet-X) CLOSE TO ((mirror OR windowpane-X) AND NOT bathtub-X)) OR lid),4.9
101,((((((scene CLOSE object-X) AND object-X) OR object-X OR object OR object-X) CLOSE TO (object-X OR object-X)) OR object-X) AND NOT object-X),((((((bathroom-s CLOSE floor-X) AND wall-X) OR toilet-X OR cradle OR sculpture-X) CLOSE TO (wall-X OR curtain-X)) OR altar-X) AND NOT countertop-X),5.0
102,((object-X CLOSE TO (((scene OR scene) AND NOT object-X) OR scene)) OR object-X OR object OR object OR object OR object-X),((wall-X CLOSE TO (((corridor-s OR subway interior-s) AND NOT wall-X) OR elevator lobby-s)) OR box office-X OR revolving door OR ticket window OR railroad train OR toll booth-X),5.4
103,(object-X OR object-X OR part-X OR part-X),(cradle-X OR autobus-X OR fire escape-X OR safety side-X),4.6
104,(((object-X OR object-X) CLOSE TO (((((color-X OR object-X) AND NOT (object OR object-X)) OR object) AND NOT object-X) OR object)) OR object-X),(((sea-X OR waterfall-X) CLOSE TO (((((blue-c-X OR rock-X) AND NOT (sea OR sand-X)) OR mountain) AND NOT sea-X) OR rock)) OR island-X),5.0
105,(((object-X OR object) CLOSE TO color) OR object OR object-X OR object-X OR object OR object-X OR object OR object-X),(((rock-X OR hill) CLOSE TO green-c) OR temple OR valley-X OR village-X OR aqueduct OR viaduct-X OR pond OR slope-X),3.6
106,((object-X OR object-X OR scene OR scene OR scene OR object-X) CLOSE TO ((color OR object OR object-X) AND NOT object)),((grandstand-X OR pitch-X OR bullring-s OR batters box-s OR volleyball court-outdoor-s OR tennis court-X) CLOSE TO ((green-c OR bullring OR pitch-X) AND NOT pitch)),4.2
107,(((object OR object-X OR scene OR object-X OR object OR object-X OR object OR object) AND NOT scene) OR object),(((arcade machine OR plaything-X OR kindergarden classroom-s OR flag-X OR lighthouse OR bowling alley-X OR inflatable bounce game OR signboard) AND NOT nursery-s) OR slot machine),5.0
108,((((object-X OR object OR object) AND NOT object-X) OR object OR object OR scene) AND NOT (object OR object-X OR object-X)),((((pool table-X OR pitch OR swimming pool) AND NOT floor-X) OR pool table OR pool OR bullpen-s) AND NOT (fence OR earth-X OR field-X)),5.1
109,((object-X OR object-X OR object-X OR object-X) AND NOT object-X),((painting-X OR drawing-X OR poster-X OR niche-X) AND NOT board-X),4.7
